,row,column,lat_min,lat_max,lon_min,lon_max,nature,entertainment,transports,art,tourism,security,accessibility,sport
R1C2,1.0,2.0,41.13368278068964,41.137514355786195,1.4000290501531316,1.407528852902366,0.0,6.0,22.0,0.0,2.0,0.0,0.0,0.0
R2C2,2.0,2.0,41.137514355786195,41.14134593088275,1.4000290501531316,1.407528852902366,3.0,20.0,39.0,0.0,2.0,0.0,0.0,0.0
R3C2,3.0,2.0,41.14134593088275,41.145177505979305,1.4000290501531316,1.407528852902366,3.0,17.0,78.0,0.0,0.0,2.0,1.0,0.0
R3C3,3.0,3.0,41.14134593088275,41.145177505979305,1.407528852902366,1.4150286556516003,2.0,32.0,67.0,1.0,3.0,0.0,1.0,0.0
R3C4,3.0,4.0,41.14134593088275,41.145177505979305,1.4150286556516003,1.4225284584008346,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
R4C2,4.0,2.0,41.145177505979305,41.14900908107586,1.4000290501531316,1.407528852902366,2.0,39.0,68.0,0.0,0.0,0.0,0.0,0.0
R4C3,4.0,3.0,41.145177505979305,41.14900908107586,1.407528852902366,1.4150286556516003,12.0,45.0,72.0,0.0,1.0,1.0,1.0,0.0
R4C4,4.0,4.0,41.145177505979305,41.14900908107586,1.4150286556516003,1.4225284584008346,12.0,4.0,59.0,0.0,2.0,0.0,1.0,0.0
R4C5,4.0,5.0,41.145177505979305,41.14900908107586,1.4225284584008346,1.430028261150069,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
R5C2,5.0,2.0,41.14900908107586,41.152840656172415,1.4000290501531316,1.407528852902366,0.0,12.0,25.0,0.0,0.0,0.0,0.0,0.0
R5C3,5.0,3.0,41.14900908107586,41.152840656172415,1.407528852902366,1.4150286556516003,6.0,25.0,44.0,0.0,0.0,0.0,0.0,0.0
R5C4,5.0,4.0,41.14900908107586,41.152840656172415,1.4150286556516003,1.4225284584008346,4.0,6.0,48.0,1.0,1.0,0.0,1.0,0.0
R5C5,5.0,5.0,41.14900908107586,41.152840656172415,1.4225284584008346,1.430028261150069,8.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0
R5C6,5.0,6.0,41.14900908107586,41.152840656172415,1.430028261150069,1.4375280638993033,3.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0
R6C2,6.0,2.0,41.152840656172415,41.15667223126897,1.4000290501531316,1.407528852902366,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
R6C3,6.0,3.0,41.152840656172415,41.15667223126897,1.407528852902366,1.4150286556516003,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0
R6C4,6.0,4.0,41.152840656172415,41.15667223126897,1.4150286556516003,1.4225284584008346,0.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0
R6C5,6.0,5.0,41.152840656172415,41.15667223126897,1.4225284584008346,1.430028261150069,2.0,1.0,40.0,0.0,1.0,0.0,0.0,0.0
R6C6,6.0,6.0,41.152840656172415,41.15667223126897,1.430028261150069,1.4375280638993033,9.0,1.0,20.0,0.0,1.0,0.0,0.0,0.0
R6C7,6.0,7.0,41.152840656172415,41.15667223126897,1.4375280638993033,1.4450278666485377,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0
R7C2,7.0,2.0,41.15667223126897,41.160503806365526,1.4000290501531316,1.407528852902366,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
R7C3,7.0,3.0,41.15667223126897,41.160503806365526,1.407528852902366,1.4150286556516003,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
R7C4,7.0,4.0,41.15667223126897,41.160503806365526,1.4150286556516003,1.4225284584008346,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
R7C5,7.0,5.0,41.15667223126897,41.160503806365526,1.4225284584008346,1.430028261150069,1.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0
R7C6,7.0,6.0,41.15667223126897,41.160503806365526,1.430028261150069,1.4375280638993033,1.0,23.0,52.0,0.0,0.0,0.0,0.0,0.0
R7C7,7.0,7.0,41.15667223126897,41.160503806365526,1.4375280638993033,1.4450278666485377,3.0,16.0,44.0,0.0,3.0,0.0,0.0,0.0
R7C8,7.0,8.0,41.15667223126897,41.160503806365526,1.4450278666485377,1.452527669397772,4.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
R7C9,7.0,9.0,41.15667223126897,41.160503806365526,1.452527669397772,1.4600274721470063,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R8C2,8.0,2.0,41.160503806365526,41.16433538146208,1.4000290501531316,1.407528852902366,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
R8C3,8.0,3.0,41.160503806365526,41.16433538146208,1.407528852902366,1.4150286556516003,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
R8C4,8.0,4.0,41.160503806365526,41.16433538146208,1.4150286556516003,1.4225284584008346,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
R8C5,8.0,5.0,41.160503806365526,41.16433538146208,1.4225284584008346,1.430028261150069,1.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0
R8C6,8.0,6.0,41.160503806365526,41.16433538146208,1.430028261150069,1.4375280638993033,5.0,53.0,43.0,0.0,0.0,0.0,0.0,0.0
R8C7,8.0,7.0,41.160503806365526,41.16433538146208,1.4375280638993033,1.4450278666485377,1.0,46.0,55.0,0.0,1.0,0.0,0.0,0.0
R8C8,8.0,8.0,41.160503806365526,41.16433538146208,1.4450278666485377,1.452527669397772,2.0,5.0,43.0,0.0,1.0,0.0,0.0,0.0
R8C9,8.0,9.0,41.160503806365526,41.16433538146208,1.452527669397772,1.4600274721470063,6.0,4.0,41.0,0.0,2.0,0.0,0.0,0.0
R9C2,9.0,2.0,41.16433538146208,41.168166956558636,1.4000290501531316,1.407528852902366,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
R9C3,9.0,3.0,41.16433538146208,41.168166956558636,1.407528852902366,1.4150286556516003,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
R9C4,9.0,4.0,41.16433538146208,41.168166956558636,1.4150286556516003,1.4225284584008346,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
R9C5,9.0,5.0,41.16433538146208,41.168166956558636,1.4225284584008346,1.430028261150069,1.0,42.0,14.0,0.0,0.0,0.0,0.0,0.0
R9C6,9.0,6.0,41.16433538146208,41.168166956558636,1.430028261150069,1.4375280638993033,2.0,75.0,33.0,0.0,0.0,0.0,0.0,0.0
R9C7,9.0,7.0,41.16433538146208,41.168166956558636,1.4375280638993033,1.4450278666485377,3.0,66.0,88.0,1.0,2.0,1.0,2.0,0.0
R9C8,9.0,8.0,41.16433538146208,41.168166956558636,1.4450278666485377,1.452527669397772,0.0,25.0,48.0,0.0,0.0,0.0,0.0,0.0
R9C9,9.0,9.0,41.16433538146208,41.168166956558636,1.452527669397772,1.4600274721470063,1.0,16.0,55.0,0.0,4.0,0.0,0.0,0.0
R9C10,9.0,10.0,41.16433538146208,41.168166956558636,1.4600274721470063,1.4675272748962407,3.0,35.0,44.0,0.0,1.0,0.0,0.0,0.0
R9C11,9.0,11.0,41.16433538146208,41.168166956558636,1.4675272748962407,1.475027077645475,3.0,5.0,16.0,1.0,3.0,0.0,0.0,0.0
R9C12,9.0,12.0,41.16433538146208,41.168166956558636,1.475027077645475,1.4825268803947094,2.0,1.0,3.0,0.0,3.0,0.0,1.0,0.0
R9C13,9.0,13.0,41.16433538146208,41.168166956558636,1.4825268803947094,1.4900266831439437,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
R10C2,10.0,2.0,41.168166956558636,41.17199853165519,1.4000290501531316,1.407528852902366,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
R10C3,10.0,3.0,41.168166956558636,41.17199853165519,1.407528852902366,1.4150286556516003,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
R10C4,10.0,4.0,41.168166956558636,41.17199853165519,1.4150286556516003,1.4225284584008346,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
R10C5,10.0,5.0,41.168166956558636,41.17199853165519,1.4225284584008346,1.430028261150069,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
R10C6,10.0,6.0,41.168166956558636,41.17199853165519,1.430028261150069,1.4375280638993033,2.0,58.0,49.0,0.0,0.0,0.0,0.0,0.0
R10C7,10.0,7.0,41.168166956558636,41.17199853165519,1.4375280638993033,1.4450278666485377,2.0,14.0,30.0,0.0,3.0,2.0,1.0,0.0
R10C8,10.0,8.0,41.168166956558636,41.17199853165519,1.4450278666485377,1.452527669397772,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
R10C9,10.0,9.0,41.168166956558636,41.17199853165519,1.452527669397772,1.4600274721470063,0.0,31.0,32.0,0.0,0.0,0.0,0.0,0.0
R10C10,10.0,10.0,41.168166956558636,41.17199853165519,1.4600274721470063,1.4675272748962407,0.0,4.0,35.0,0.0,1.0,0.0,0.0,0.0
R10C11,10.0,11.0,41.168166956558636,41.17199853165519,1.4675272748962407,1.475027077645475,0.0,37.0,19.0,0.0,2.0,0.0,0.0,0.0
R10C12,10.0,12.0,41.168166956558636,41.17199853165519,1.475027077645475,1.4825268803947094,4.0,58.0,84.0,1.0,3.0,1.0,0.0,0.0
R10C13,10.0,13.0,41.168166956558636,41.17199853165519,1.4825268803947094,1.4900266831439437,2.0,21.0,36.0,0.0,0.0,0.0,0.0,0.0
R10C14,10.0,14.0,41.168166956558636,41.17199853165519,1.4900266831439437,1.497526485893178,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R11C3,11.0,3.0,41.17199853165519,41.17583010675175,1.407528852902366,1.4150286556516003,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
R11C4,11.0,4.0,41.17199853165519,41.17583010675175,1.4150286556516003,1.4225284584008346,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
R11C5,11.0,5.0,41.17199853165519,41.17583010675175,1.4225284584008346,1.430028261150069,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
R11C6,11.0,6.0,41.17199853165519,41.17583010675175,1.430028261150069,1.4375280638993033,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
R11C7,11.0,7.0,41.17199853165519,41.17583010675175,1.4375280638993033,1.4450278666485377,1.0,0.0,18.0,1.0,1.0,0.0,0.0,0.0
R11C8,11.0,8.0,41.17199853165519,41.17583010675175,1.4450278666485377,1.452527669397772,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
R11C9,11.0,9.0,41.17199853165519,41.17583010675175,1.452527669397772,1.4600274721470063,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
R11C10,11.0,10.0,41.17199853165519,41.17583010675175,1.4600274721470063,1.4675272748962407,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
R11C11,11.0,11.0,41.17199853165519,41.17583010675175,1.4675272748962407,1.475027077645475,0.0,48.0,36.0,0.0,3.0,0.0,0.0,0.0
R11C12,11.0,12.0,41.17199853165519,41.17583010675175,1.475027077645475,1.4825268803947094,0.0,144.0,24.0,0.0,0.0,0.0,0.0,0.0
R11C13,11.0,13.0,41.17199853165519,41.17583010675175,1.4825268803947094,1.4900266831439437,0.0,63.0,57.0,0.0,0.0,0.0,0.0,0.0
R11C14,11.0,14.0,41.17199853165519,41.17583010675175,1.4900266831439437,1.497526485893178,3.0,43.0,42.0,0.0,0.0,0.0,0.0,0.0
R11C15,11.0,15.0,41.17199853165519,41.17583010675175,1.497526485893178,1.5050262886424124,4.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0
R12C2,12.0,2.0,41.17583010675175,41.1796616818483,1.4000290501531316,1.407528852902366,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
R12C3,12.0,3.0,41.17583010675175,41.1796616818483,1.407528852902366,1.4150286556516003,0.0,0.0,19.0,0.0,0.0,1.0,1.0,0.0
R12C4,12.0,4.0,41.17583010675175,41.1796616818483,1.4150286556516003,1.4225284584008346,3.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0
R12C5,12.0,5.0,41.17583010675175,41.1796616818483,1.4225284584008346,1.430028261150069,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
R12C6,12.0,6.0,41.17583010675175,41.1796616818483,1.430028261150069,1.4375280638993033,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
R12C7,12.0,7.0,41.17583010675175,41.1796616818483,1.4375280638993033,1.4450278666485377,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R12C8,12.0,8.0,41.17583010675175,41.1796616818483,1.4450278666485377,1.452527669397772,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
R12C9,12.0,9.0,41.17583010675175,41.1796616818483,1.452527669397772,1.4600274721470063,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0
R12C10,12.0,10.0,41.17583010675175,41.1796616818483,1.4600274721470063,1.4675272748962407,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
R12C11,12.0,11.0,41.17583010675175,41.1796616818483,1.4675272748962407,1.475027077645475,0.0,1.0,13.0,0.0,1.0,0.0,0.0,0.0
R12C12,12.0,12.0,41.17583010675175,41.1796616818483,1.475027077645475,1.4825268803947094,1.0,35.0,74.0,0.0,0.0,0.0,0.0,0.0
R12C13,12.0,13.0,41.17583010675175,41.1796616818483,1.4825268803947094,1.4900266831439437,2.0,50.0,85.0,0.0,1.0,0.0,1.0,0.0
R12C14,12.0,14.0,41.17583010675175,41.1796616818483,1.4900266831439437,1.497526485893178,4.0,67.0,63.0,0.0,0.0,1.0,0.0,0.0
R12C15,12.0,15.0,41.17583010675175,41.1796616818483,1.497526485893178,1.5050262886424124,1.0,55.0,37.0,0.0,1.0,0.0,2.0,0.0
R12C16,12.0,16.0,41.17583010675175,41.1796616818483,1.5050262886424124,1.5125260913916467,2.0,72.0,48.0,0.0,0.0,0.0,0.0,0.0
R12C17,12.0,17.0,41.17583010675175,41.1796616818483,1.5125260913916467,1.520025894140881,1.0,6.0,8.0,0.0,1.0,0.0,0.0,0.0
R12C18,12.0,18.0,41.17583010675175,41.1796616818483,1.520025894140881,1.5275256968901154,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0
R13C2,13.0,2.0,41.1796616818483,41.18349325694486,1.4000290501531316,1.407528852902366,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
R13C3,13.0,3.0,41.1796616818483,41.18349325694486,1.407528852902366,1.4150286556516003,1.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0
R13C4,13.0,4.0,41.1796616818483,41.18349325694486,1.4150286556516003,1.4225284584008346,3.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0
R13C5,13.0,5.0,41.1796616818483,41.18349325694486,1.4225284584008346,1.430028261150069,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
R13C6,13.0,6.0,41.1796616818483,41.18349325694486,1.430028261150069,1.4375280638993033,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
R13C7,13.0,7.0,41.1796616818483,41.18349325694486,1.4375280638993033,1.4450278666485377,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
R13C8,13.0,8.0,41.1796616818483,41.18349325694486,1.4450278666485377,1.452527669397772,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
R13C9,13.0,9.0,41.1796616818483,41.18349325694486,1.452527669397772,1.4600274721470063,1.0,4.0,45.0,0.0,0.0,0.0,0.0,0.0
R13C10,13.0,10.0,41.1796616818483,41.18349325694486,1.4600274721470063,1.4675272748962407,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0
R13C11,13.0,11.0,41.1796616818483,41.18349325694486,1.4675272748962407,1.475027077645475,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
R13C12,13.0,12.0,41.1796616818483,41.18349325694486,1.475027077645475,1.4825268803947094,2.0,6.0,33.0,0.0,0.0,0.0,0.0,0.0
R13C13,13.0,13.0,41.1796616818483,41.18349325694486,1.4825268803947094,1.4900266831439437,4.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
R13C14,13.0,14.0,41.1796616818483,41.18349325694486,1.4900266831439437,1.497526485893178,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
R13C15,13.0,15.0,41.1796616818483,41.18349325694486,1.497526485893178,1.5050262886424124,0.0,7.0,28.0,0.0,0.0,0.0,1.0,0.0
R13C16,13.0,16.0,41.1796616818483,41.18349325694486,1.5050262886424124,1.5125260913916467,2.0,31.0,30.0,0.0,0.0,0.0,0.0,0.0
R13C17,13.0,17.0,41.1796616818483,41.18349325694486,1.5125260913916467,1.520025894140881,2.0,24.0,24.0,1.0,0.0,0.0,1.0,0.0
R13C18,13.0,18.0,41.1796616818483,41.18349325694486,1.520025894140881,1.5275256968901154,1.0,26.0,42.0,0.0,3.0,1.0,3.0,0.0
R13C19,13.0,19.0,41.1796616818483,41.18349325694486,1.5275256968901154,1.5350254996393498,2.0,14.0,24.0,0.0,2.0,0.0,0.0,0.0
R13C20,13.0,20.0,41.1796616818483,41.18349325694486,1.5350254996393498,1.542525302388584,1.0,5.0,10.0,0.0,1.0,0.0,0.0,0.0
R13C21,13.0,21.0,41.1796616818483,41.18349325694486,1.542525302388584,1.5500251051378184,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R14C2,14.0,2.0,41.18349325694486,41.18732483204141,1.4000290501531316,1.407528852902366,0.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0
R14C3,14.0,3.0,41.18349325694486,41.18732483204141,1.407528852902366,1.4150286556516003,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0
R14C4,14.0,4.0,41.18349325694486,41.18732483204141,1.4150286556516003,1.4225284584008346,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0
R14C5,14.0,5.0,41.18349325694486,41.18732483204141,1.4225284584008346,1.430028261150069,0.0,0.0,14.0,0.0,4.0,0.0,0.0,0.0
R14C6,14.0,6.0,41.18349325694486,41.18732483204141,1.430028261150069,1.4375280638993033,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
R14C7,14.0,7.0,41.18349325694486,41.18732483204141,1.4375280638993033,1.4450278666485377,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0
R14C8,14.0,8.0,41.18349325694486,41.18732483204141,1.4450278666485377,1.452527669397772,3.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0
R14C9,14.0,9.0,41.18349325694486,41.18732483204141,1.452527669397772,1.4600274721470063,16.0,8.0,79.0,1.0,1.0,3.0,5.0,0.0
R14C10,14.0,10.0,41.18349325694486,41.18732483204141,1.4600274721470063,1.4675272748962407,2.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0
R14C11,14.0,11.0,41.18349325694486,41.18732483204141,1.4675272748962407,1.475027077645475,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
R14C12,14.0,12.0,41.18349325694486,41.18732483204141,1.475027077645475,1.4825268803947094,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0
R14C13,14.0,13.0,41.18349325694486,41.18732483204141,1.4825268803947094,1.4900266831439437,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0
R14C14,14.0,14.0,41.18349325694486,41.18732483204141,1.4900266831439437,1.497526485893178,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
R14C15,14.0,15.0,41.18349325694486,41.18732483204141,1.497526485893178,1.5050262886424124,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
R14C16,14.0,16.0,41.18349325694486,41.18732483204141,1.5050262886424124,1.5125260913916467,0.0,64.0,14.0,0.0,0.0,0.0,0.0,0.0
R14C17,14.0,17.0,41.18349325694486,41.18732483204141,1.5125260913916467,1.520025894140881,4.0,6.0,54.0,0.0,0.0,0.0,0.0,0.0
R14C18,14.0,18.0,41.18349325694486,41.18732483204141,1.520025894140881,1.5275256968901154,2.0,32.0,100.0,0.0,0.0,1.0,1.0,0.0
R14C19,14.0,19.0,41.18349325694486,41.18732483204141,1.5275256968901154,1.5350254996393498,4.0,44.0,65.0,0.0,0.0,0.0,0.0,0.0
R14C20,14.0,20.0,41.18349325694486,41.18732483204141,1.5350254996393498,1.542525302388584,13.0,44.0,49.0,1.0,2.0,1.0,1.0,0.0
R14C21,14.0,21.0,41.18349325694486,41.18732483204141,1.542525302388584,1.5500251051378184,15.0,22.0,29.0,1.0,2.0,0.0,1.0,0.0
R14C22,14.0,22.0,41.18349325694486,41.18732483204141,1.5500251051378184,1.5575249078870528,4.0,0.0,22.0,0.0,3.0,0.0,0.0,0.0
R14C23,14.0,23.0,41.18349325694486,41.18732483204141,1.5575249078870528,1.5650247106362871,3.0,1.0,18.0,0.0,1.0,0.0,0.0,0.0
R14C24,14.0,24.0,41.18349325694486,41.18732483204141,1.5650247106362871,1.5725245133855215,0.0,5.0,26.0,0.0,1.0,0.0,2.0,0.0
R14C25,14.0,25.0,41.18349325694486,41.18732483204141,1.5725245133855215,1.5800243161347558,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
R14C29,14.0,29.0,41.18349325694486,41.18732483204141,1.6025237243824588,1.6100235271316932,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
R15C2,15.0,2.0,41.18732483204141,41.19115640713797,1.4000290501531316,1.407528852902366,4.0,12.0,58.0,0.0,2.0,0.0,0.0,0.0
R15C3,15.0,3.0,41.18732483204141,41.19115640713797,1.407528852902366,1.4150286556516003,3.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0
R15C4,15.0,4.0,41.18732483204141,41.19115640713797,1.4150286556516003,1.4225284584008346,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0
R15C5,15.0,5.0,41.18732483204141,41.19115640713797,1.4225284584008346,1.430028261150069,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
R15C6,15.0,6.0,41.18732483204141,41.19115640713797,1.430028261150069,1.4375280638993033,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
R15C7,15.0,7.0,41.18732483204141,41.19115640713797,1.4375280638993033,1.4450278666485377,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0
R15C8,15.0,8.0,41.18732483204141,41.19115640713797,1.4450278666485377,1.452527669397772,1.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0
R15C9,15.0,9.0,41.18732483204141,41.19115640713797,1.452527669397772,1.4600274721470063,8.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0
R15C10,15.0,10.0,41.18732483204141,41.19115640713797,1.4600274721470063,1.4675272748962407,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0
R15C11,15.0,11.0,41.18732483204141,41.19115640713797,1.4675272748962407,1.475027077645475,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0
R15C12,15.0,12.0,41.18732483204141,41.19115640713797,1.475027077645475,1.4825268803947094,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0
R15C13,15.0,13.0,41.18732483204141,41.19115640713797,1.4825268803947094,1.4900266831439437,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
R15C14,15.0,14.0,41.18732483204141,41.19115640713797,1.4900266831439437,1.497526485893178,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
R15C15,15.0,15.0,41.18732483204141,41.19115640713797,1.497526485893178,1.5050262886424124,4.0,75.0,17.0,0.0,0.0,0.0,0.0,0.0
R15C16,15.0,16.0,41.18732483204141,41.19115640713797,1.5050262886424124,1.5125260913916467,0.0,128.0,19.0,0.0,0.0,0.0,0.0,0.0
R15C17,15.0,17.0,41.18732483204141,41.19115640713797,1.5125260913916467,1.520025894140881,0.0,85.0,82.0,0.0,0.0,0.0,1.0,0.0
R15C18,15.0,18.0,41.18732483204141,41.19115640713797,1.520025894140881,1.5275256968901154,3.0,20.0,63.0,0.0,1.0,0.0,0.0,0.0
R15C19,15.0,19.0,41.18732483204141,41.19115640713797,1.5275256968901154,1.5350254996393498,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
R15C20,15.0,20.0,41.18732483204141,41.19115640713797,1.5350254996393498,1.542525302388584,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
R15C21,15.0,21.0,41.18732483204141,41.19115640713797,1.542525302388584,1.5500251051378184,7.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
R15C22,15.0,22.0,41.18732483204141,41.19115640713797,1.5500251051378184,1.5575249078870528,2.0,50.0,22.0,0.0,0.0,0.0,0.0,0.0
R15C23,15.0,23.0,41.18732483204141,41.19115640713797,1.5575249078870528,1.5650247106362871,4.0,59.0,43.0,0.0,0.0,0.0,0.0,0.0
R15C24,15.0,24.0,41.18732483204141,41.19115640713797,1.5650247106362871,1.5725245133855215,6.0,21.0,363.0,1.0,2.0,1.0,2.0,0.0
R15C25,15.0,25.0,41.18732483204141,41.19115640713797,1.5725245133855215,1.5800243161347558,7.0,12.0,291.0,0.0,5.0,2.0,1.0,0.0
R15C26,15.0,26.0,41.18732483204141,41.19115640713797,1.5800243161347558,1.5875241188839901,4.0,5.0,166.0,0.0,4.0,0.0,3.0,0.0
R15C27,15.0,27.0,41.18732483204141,41.19115640713797,1.5875241188839901,1.5950239216332245,2.0,10.0,262.0,0.0,0.0,0.0,1.0,0.0
R15C28,15.0,28.0,41.18732483204141,41.19115640713797,1.5950239216332245,1.6025237243824588,3.0,11.0,190.0,0.0,0.0,0.0,2.0,0.0
R15C29,15.0,29.0,41.18732483204141,41.19115640713797,1.6025237243824588,1.6100235271316932,11.0,19.0,196.0,0.0,1.0,2.0,2.0,0.0
R15C30,15.0,30.0,41.18732483204141,41.19115640713797,1.6100235271316932,1.6175233298809275,6.0,7.0,70.0,0.0,0.0,0.0,3.0,0.0
R15C31,15.0,31.0,41.18732483204141,41.19115640713797,1.6175233298809275,1.6250231326301618,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R16C2,16.0,2.0,41.19115640713797,41.19498798223452,1.4000290501531316,1.407528852902366,0.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0
R16C3,16.0,3.0,41.19115640713797,41.19498798223452,1.407528852902366,1.4150286556516003,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
R16C4,16.0,4.0,41.19115640713797,41.19498798223452,1.4150286556516003,1.4225284584008346,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0
R16C5,16.0,5.0,41.19115640713797,41.19498798223452,1.4225284584008346,1.430028261150069,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
R16C6,16.0,6.0,41.19115640713797,41.19498798223452,1.430028261150069,1.4375280638993033,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
R16C7,16.0,7.0,41.19115640713797,41.19498798223452,1.4375280638993033,1.4450278666485377,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
R16C8,16.0,8.0,41.19115640713797,41.19498798223452,1.4450278666485377,1.452527669397772,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
R16C9,16.0,9.0,41.19115640713797,41.19498798223452,1.452527669397772,1.4600274721470063,2.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0
R16C10,16.0,10.0,41.19115640713797,41.19498798223452,1.4600274721470063,1.4675272748962407,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0
R16C11,16.0,11.0,41.19115640713797,41.19498798223452,1.4675272748962407,1.475027077645475,2.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0
R16C12,16.0,12.0,41.19115640713797,41.19498798223452,1.475027077645475,1.4825268803947094,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
R16C13,16.0,13.0,41.19115640713797,41.19498798223452,1.4825268803947094,1.4900266831439437,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
