SELECT;Geometry Code;Layer;fclass;Description;OSM Tag;;;;;;
nature;2204;leisure;park;A park.;leisure=park;;;;;;
nature;2547;shopping;garden_centre;A place selling plants and;shop=garden_centre;;;;;;
nature;2733;tourism;archaeological;An excavation site.;historic=archaeological_site;;;;;;
nature;2741;tourism;picnic_site;A picnic site.;tourism=picnic_site;;;;;;
nature;2742;tourism;viewpoint;A viewpoint.;tourism=viewpoint;;;;;;
nature;2743;tourism;zoo;A zoo.;tourism=zoo;;;;;;
nature;2906;miscpoi;waste_basket;A waste basket.;amenity=waste_basket;;;;;;
nature;4101;natural;spring;A spring, possibly source of a;natural=spring;;;;;;
nature;4103;natural;glacier;A glacier.;natural=glacier;;;;;;
nature;4111;natural;peak;A mountain peak.;natural=peak;;;;;;
nature;4112;natural;cliff;A cliff.;natural=cliff;;;;;;
nature;4113;natural;volcano;A volcano.;natural=volcano;;;;;;
nature;4121;natural;tree;A tree.;natural=tree;;;;;;
nature;4132;natural;cave_entrance;A cave entrance.;natural=cave_entrance;;;;;;
nature;4141;natural;beach;A beach. (Note that beaches are;natural=beach;;;;;;
nature;5311;traffic;dam;A dam.;waterway=dam;;;;;;
nature;5321;traffic;waterfall;A waterfall.;waterway=waterfall;;;;;;
nature;7201;landuse;forest;A forest or woodland.;landuse=forest,;;;;;;
nature;7202;landuse;park;A park.;leisure=park,;;;;;;
nature;7206;landuse;cemetery;A cemetery or graveyard.;landuse=cemetery;;;;;;
nature;7210;landuse;nature_reserve;A nature reserve.;leisure=nature_reserve;;;;;;
nature;7216;landuse;vineyard;An area used for growing grapes.;landuse=vineyard;;;;;;
nature;7217;landuse;scrub;An area where scrub grows.;landuse=scrub;;;;;;
nature;7218;landuse;grass;An area where grass grows.;landuse=grass;;;;;;
nature;7219;landuse;heath;Heath areas.;natural=heath;;;;;;
nature;7220;landuse;national_park;A national park.;boundary=national_park;;;;;;
nature;7228;landuse;farmland;Agricultural land (areas where crops;landuse=farmland;;;;;;
nature;7229;landuse;farmyard;Area of land with farm buildings and;landuse=farmyard;;;;;;
nature;8101;waterways;river;A large river.;waterway=river;;;;;;
nature;8102;waterways;stream;A smaller river or stream.;waterway=stream;;;;;;
nature;8103;waterways;canal;An artificial waterway;waterway=canal;;;;;;
nature;8104;waterways;drain;A small drainage ditch or similar structure;waterway=drain;;;;;;
nature;8200;water;water;Unspecified bodies of water. Typically lakes,;natural=water + water!;;;;;;
nature;8202;water;river;Polygons for larger rivers.;waterway=riverbank,;;;;;;
nature;8211;water;glacier;Glaciers;natural=glacier;;;;;;
nature;8221;water;wetland;Wetland;natural=wetland;;;;;;
nature;41;natural;;Natural features;;;;;;;
nature;81;waterways;;Rivers, canals, streams, ...;;;;;;;
nature;82;water;;Lakes, ...;;;;;;;
nature;8201;water;reservoir;Artificial lakes, typically above a dam.;landuse=reservoir,;;;;;;
security;2001;public;police;A police post or station.;amenity=police;;;;;;
security;2002;public;fire_station;A fire station.;amenity=fire_station;;;;;;
security;2011;public;embassy;An embassy or consulate.;amenity=embassy or;;;;;;
security;2101;health;pharmacy;A pharmacy.;amenity=pharmacy;;;;;;
security;2110;health;hospital;A hospital.;amenity=hospital;;;;;;
security;2111;health;clinic;A medical centre that does not;amenity=clinic;;;;;;
security;2120;health;doctors;A medical practice.;amenity=doctors;;;;;;
security;2129;health;veterinary;A veterinary (animal doctor);amenity=veterinary;;;;;;
security;2907;miscpoi;camera_surveillance;A surveillance camera.;man_made=surveillance;;;;;;
security;2921;miscpoi;emergency_phone;An emergency telephone.;amenity=emergency_phone,;;;;;;
security;2922;miscpoi;fire_hydrant;A firy hydrant.;amenity=fire_hydrant,;;;;;;
security;2923;miscpoi;emergency_access;An emergency access point;highway=emergency_access;;;;;;
security;2923;pois;emergency_access_point;;;;;;;;
security;5208;traffic;speed_camera;A camera that photographs speeding;highway=speed_camera;;;;;;
security;5209;traffic;street_lamp;A lamp illuminating the road.;highway=street_lamp;;;;;;
sport;2251;leisure;sports_centre;A facility where a range of sports;leisure=sports_centre;;;;;;
sport;2252;leisure;pitch;An area set aside for a specific;leisure=pitch;;;;;;
sport;2253;leisure;swimming_pool;A swimming pool or water park.;amenity=swimming_pool,;;;;;;
sport;2254;leisure;tennis_court;A tennis court.;sport=tennis;;;;;;
sport;2255;leisure;golf_course;A golf course.;leisure=golf_course;;;;;;
sport;2256;leisure;stadium;A stadium. The area of the;leisure=stadium;;;;;;
sport;2257;leisure;ice_rink;An ice rink.;leisure=ice_rink;;;;;;
sport;2522;shopping;sports_shop;A shop selling sports equipment.;shop=sports;;;;;;
sport;2524;shopping;outdoor_shop;A shop selling outdoor equiment.;shop=outdoor;;;;;;
sport;2524;pois;outdoor_shop;;;;;;;;
sport;2542;shopping;bicycle_shop;A bicycle shop.;shop=bicycle;;;;;;
sport;2905;miscpoi;hunting_stand;A hunting stand.;amenity=hunting_stand;;;;;;
sport;225;Sports;;;;;;;;;
tourism;2401;accomodation;hotel;A hotel.;tourism=hotel;;;;;;
tourism;2402;accomodation;motel;A motel.;tourism=motel;;;;;;
tourism;2403;accomodation;bed_and_breakfast;A facility offering bed and;tourism=bed_and_breakfast;;;;;;
tourism;2404;accomodation;guesthouse;A guesthouse. The difference;tourism=guest_house;;;;;;
tourism;2405;accomodation;hostel;A hostel (offering cheap;tourism=hostel;;;;;;
tourism;2406;accomodation;chalet;A detached cottage, usually self-;tourism=chalet;;;;;;
tourism;2420;accomodation;;(outdoor);;;;;;;
tourism;2421;accomodation;shelter;All sorts of small shelters to;amenity=shelter;;;;;;
tourism;2422;accomodation;camp_site;A camp site or camping ground.;tourism=camp_site;;;;;;
tourism;2423;accomodation;alpine_hut;An alpine hut is a building;tourism=alpine_hut;;;;;;
tourism;2424;accomodation;caravan_site;A place where people with;tourism=caravan_site;;;;;;
tourism;2701;tourism;tourist_info;Something that provides;tourism=information with;;;;;;
tourism;2704;tourism;tourist_map;A map displayed to inform;tourism_information and;;;;;;
tourism;2705;tourism;tourist_board;A board with explanations aimed;and information=board;;;;;;
tourism;2706;tourism;tourist_guidepost;A guide post.;and information=guidepost;;;;;;
tourism;2721;tourism;attraction;A tourist attraction.;tourism=attraction;;;;;;
tourism;24;accomodation;;Hotel, motels, and other places to stay the night;;;;;;;
tourism;27;tourism;;Tourist information, sights, museums, ...;;;;;;;
transports;1001;place;city;As defined by national/state/provincial government. Often over 100,000 people;;;;;;;
transports;1002;place;town;As defined by national/state/provincial government. Generally smaller than a city, between 10,000 and 100,000 people;;;;;;;
transports;1003;place;village;As defined by national/state/provincial government. Generally smaller than a town, below 10,000 people;;;;;;;
transports;2562;shopping;car_repair;A car garage.;shop=car_repair;;;;;;
transports;2563;shopping;car_rental;A place where you can rent a car.;amenity=car_rental;;;;;;
transports;2565;shopping;car_sharing;A car sharing station.;amenity=car_sharing;;;;;;
transports;5111;roads;motorway;Motorway/freeway;highway=motorway;;;;;;
transports;5112;roads;trunk;Important roads, typically divided;highway=trunk;;;;;;
transports;5113;roads;primary;Primary roads, typically national.;highway=primary;;;;;;
transports;5114;roads;secondary;Secondary roads, typically regional.;highway=secondary;;;;;;
transports;5115;roads;tertiary;Tertiary roads, typically local.;highway=tertiary;;;;;;
transports;5121;roads;unclassified;Smaller local roads;highway=unclassified;;;;;;
transports;5122;roads;residential;Roads in residential areas;highway=residential;;;;;;
transports;5123;roads;living_street;Streets where pedestrians have priority;highway=living_street;;;;;;
transports;5124;roads;pedestrian;Pedestrian only streets;highway=pedestrian;;;;;;
transports;5125;roads;busway;Dedicated roads for bus, usually closed for;highway=busway;;;;;;
transports;5131;roads;motorway_link;Roads that connect from one road to another;highway=motorway_link;;;;;;
transports;5132;roads;trunk_link;of the same of lower category.;highway=trunk_link;;;;;;4142
transports;5133;roads;primary_link;;highway=primary_link;;;;;;
transports;5134;roads;secondary_link;;highway=secondary_link;;;;;;
transports;5135;roads;tertiary_link;;highway=tertiary_link;;;;;;
transports;5141;roads;service;Service roads for access to buildings, parking;highway=service;;;;;;
transports;5142;roads;track;For agricultural use, in forests, etc. Often;highway=track without;;;;;;
transports;5143;roads;track_grade1;Tracks can be assigned a “tracktype” from 1;... with tracktype=grade1;;;;;;
transports;5144;roads;track_grade2;(asphalt or heavily compacted) to 5 (hardly;... with tracktype=grade2;;;;;;
transports;5145;roads;track_grade3;visible). A detailed description is here:;... with tracktype=grade3;;;;;;
transports;5146;roads;track_grade4;http://wiki.openstreetmap.org/wiki/Tracktype;... with tracktype=grade4;;;;;;
transports;5147;roads;track_grade5;;... with tracktype=grade5;;;;;;
transports;5151;roads;bridleway;Paths for horse riding;highway=bridleway or;;;;;;
transports;5152;roads;cycleway;Paths for cycling;highway=cycleway or;;;;;;
transports;5153;roads;footway;Footpaths;highway=footway or;;;;;;
transports;5154;roads;path;Unspecified paths;highway=path without;;;;;;
transports;5155;roads;steps;Flights of steps on footpaths;highway=steps;;;;;;
transports;5160;roads;ferry;;;;;;;;
transports;5199;roads;unknown;Unknown type of road or path;highway=road;;;;;;
transports;5250;traffic;fuel;A gas station.;amenity=fuel;;;;;;
transports;5251;traffic;service;A service area, usually along motorways.;highway=services;;;;;;
transports;5260;traffic;parking;A car park of unknown type.;amenity=parking with;;;;;;
transports;5261;traffic;parking_site;A surface car park.;amenity=parking and...;;;;;;
transports;5262;traffic;parking_multistorey;A multi storey car park.;... parking=multi-storey;;;;;;
transports;5263;traffic;parking_undergroun;An underground car park.;... parking=underground;;;;;;
transports;5270;traffic;parking_bicycle;A place to park your bicycle.;amenity=bicycle_parking;;;;;;
transports;5601;transport;railway_station;A larger railway station of mainline;railway=station;;;;;;
transports;5602;transport;railway_halt;A smaller, local railway station, or;railway=halt, or;;;;;;
transports;5603;transport;tram_stop;A tram stop.;railway=tram_stop, or;;;;;;
transports;5621;transport;bus_stop;A bus stop.;highway=bus_stop, or;;;;;;
transports;5622;transport;bus_station;A large bus station with multiple;amenity=bus_station;;;;;;
transports;5641;transport;taxi_rank;A taxi rank.;amenity=taxi;;;;;;
transports;5651;transport;airport;A large airport.;amenity=airport or;;;;;;
transports;5652;transport;airfield;A small airport or airfield.;aeroway=airfield,;;;;;;
transports;5655;transport;helipad;A place for landing helicopters.;aeroway=helipad;;;;;;
transports;5656;transport;apron;A apron (area where aircraft are;aeroway=apron;;;;;;
transports;5661;transport;ferry_terminal;A ferry terminal.;amenity=ferry_terminal;;;;;;
transports;5671;transport;aerialway_station;A station where cable cars or lifts;aerialway=station;;;;;;
transports;6101;railways;rail;Regular railway tracks.;railway=rail (unless;;;;;;
transports;6102;railways;light_rail;Light railway tracks, often commuter;railway=light_rail;;;;;;
transports;6103;railways;subway;Underground railway tracks.;railway=subway;;;;;;
transports;6104;railways;tram;Tram tracks (may be incident with roads).;railway=tram;;;;;;
transports;6105;railways;monorail;A monorail track.;railway=monorail;;;;;;
