,lat,lon
1,45.958608895153304,11.732396224881946
2,45.68311896713405,12.253683776599559
3,45.40781700047701,11.880566111876316
4,45.85366435627705,12.86262878787332
5,45.82176902170957,12.026915490157727
6,45.45437922817703,12.366091365665344
7,45.17437766343488,12.015120451918268
8,45.20377008619255,11.575924760343309
9,45.783811371611435,11.5995629535375
10,45.53529569343672,11.578366605161417
11,45.913462350652864,12.288357274957143
12,45.570718947446935,12.724703053471874
13,45.71099932463926,12.513600026986666
14,45.49744351050077,12.14815019753
15,45.291204226630356,11.711431699041984
16,45.77291999200787,11.799724044339474
17,45.090485641541335,11.774210898350876
18,45.138937666546994,12.280815353010869
19,45.91503261738055,12.640397433252303
20,45.629907236591905,11.874398473429014
