,geometry,cluster
R2C16,"POLYGON ((4.227209009658508 52.00999988448791, 4.220329067226372 52.00999988448791, 4.220329067226372 52.00500001293753, 4.227209009658508 52.00500001293753, 4.227209009658508 52.00999988448791))",3
R2C17,"POLYGON ((4.234088952090644 52.00999988448791, 4.227209009658508 52.00999988448791, 4.227209009658508 52.00500001293753, 4.234088952090644 52.00500001293753, 4.234088952090644 52.00999988448791))",3
R2C30,"POLYGON ((4.323528203708418 52.00999988448791, 4.316648261276281 52.00999988448791, 4.316648261276281 52.00500001293753, 4.323528203708418 52.00500001293753, 4.323528203708418 52.00999988448791))",3
R2C31,"POLYGON ((4.330408146140554 52.00999988448791, 4.323528203708418 52.00999988448791, 4.323528203708418 52.00500001293753, 4.330408146140554 52.00500001293753, 4.330408146140554 52.00999988448791))",3
R2C32,"POLYGON ((4.3372880885726905 52.00999988448791, 4.330408146140554 52.00999988448791, 4.330408146140554 52.00500001293753, 4.3372880885726905 52.00500001293753, 4.3372880885726905 52.00999988448791))",3
R2C33,"POLYGON ((4.344168031004827 52.00999988448791, 4.3372880885726905 52.00999988448791, 4.3372880885726905 52.00500001293753, 4.344168031004827 52.00500001293753, 4.344168031004827 52.00999988448791))",3
R2C34,"POLYGON ((4.351047973436963 52.00999988448791, 4.344168031004827 52.00999988448791, 4.344168031004827 52.00500001293753, 4.351047973436963 52.00500001293753, 4.351047973436963 52.00999988448791))",3
R2C35,"POLYGON ((4.3579279158691 52.00999988448791, 4.351047973436963 52.00999988448791, 4.351047973436963 52.00500001293753, 4.3579279158691 52.00500001293753, 4.3579279158691 52.00999988448791))",3
R2C36,"POLYGON ((4.364807858301236 52.00999988448791, 4.3579279158691 52.00999988448791, 4.3579279158691 52.00500001293753, 4.364807858301236 52.00500001293753, 4.364807858301236 52.00999988448791))",3
R2C37,"POLYGON ((4.371687800733373 52.00999988448791, 4.364807858301236 52.00999988448791, 4.364807858301236 52.00500001293753, 4.371687800733373 52.00500001293753, 4.371687800733373 52.00999988448791))",3
R2C38,"POLYGON ((4.378567743165509 52.00999988448791, 4.371687800733373 52.00999988448791, 4.371687800733373 52.00500001293753, 4.378567743165509 52.00500001293753, 4.378567743165509 52.00999988448791))",15
R2C39,"POLYGON ((4.385447685597645 52.00999988448791, 4.378567743165509 52.00999988448791, 4.378567743165509 52.00500001293753, 4.385447685597645 52.00500001293753, 4.385447685597645 52.00999988448791))",15
R2C40,"POLYGON ((4.392327628029782 52.00999988448791, 4.385447685597645 52.00999988448791, 4.385447685597645 52.00500001293753, 4.392327628029782 52.00500001293753, 4.392327628029782 52.00999988448791))",15
R2C41,"POLYGON ((4.399207570461918 52.00999988448791, 4.392327628029782 52.00999988448791, 4.392327628029782 52.00500001293753, 4.399207570461918 52.00500001293753, 4.399207570461918 52.00999988448791))",15
R2C47,"POLYGON ((4.440487225054737 52.00999988448791, 4.4336072826226 52.00999988448791, 4.4336072826226 52.00500001293753, 4.440487225054737 52.00500001293753, 4.440487225054737 52.00999988448791))",15
R2C48,"POLYGON ((4.447367167486873 52.00999988448791, 4.440487225054737 52.00999988448791, 4.440487225054737 52.00500001293753, 4.447367167486873 52.00500001293753, 4.447367167486873 52.00999988448791))",15
R2C49,"POLYGON ((4.4542471099190095 52.00999988448791, 4.447367167486873 52.00999988448791, 4.447367167486873 52.00500001293753, 4.4542471099190095 52.00500001293753, 4.4542471099190095 52.00999988448791))",15
R2C54,"POLYGON ((4.488646822079692 52.00999988448791, 4.481766879647555 52.00999988448791, 4.481766879647555 52.00500001293753, 4.488646822079692 52.00500001293753, 4.488646822079692 52.00999988448791))",15
R2C60,"POLYGON ((4.52992647667251 52.00999988448791, 4.523046534240374 52.00999988448791, 4.523046534240374 52.00500001293753, 4.52992647667251 52.00500001293753, 4.52992647667251 52.00999988448791))",15
R2C61,"POLYGON ((4.536806419104646 52.00999988448791, 4.52992647667251 52.00999988448791, 4.52992647667251 52.00500001293753, 4.536806419104646 52.00500001293753, 4.536806419104646 52.00999988448791))",15
R2C62,"POLYGON ((4.543686361536783 52.00999988448791, 4.536806419104646 52.00999988448791, 4.536806419104646 52.00500001293753, 4.543686361536783 52.00500001293753, 4.543686361536783 52.00999988448791))",15
R2C68,"POLYGON ((4.584966016129601 52.00999988448791, 4.578086073697465 52.00999988448791, 4.578086073697465 52.00500001293753, 4.584966016129601 52.00500001293753, 4.584966016129601 52.00999988448791))",10
R2C85,"POLYGON ((4.70192503747592 52.00999988448791, 4.695045095043784 52.00999988448791, 4.695045095043784 52.00500001293753, 4.70192503747592 52.00500001293753, 4.70192503747592 52.00999988448791))",10
R2C86,"POLYGON ((4.708804979908057 52.00999988448791, 4.70192503747592 52.00999988448791, 4.70192503747592 52.00500001293753, 4.708804979908057 52.00500001293753, 4.708804979908057 52.00999988448791))",10
R2C87,"POLYGON ((4.715684922340193 52.00999988448791, 4.708804979908057 52.00999988448791, 4.708804979908057 52.00500001293753, 4.715684922340193 52.00500001293753, 4.715684922340193 52.00999988448791))",10
R2C88,"POLYGON ((4.7225648647723295 52.00999988448791, 4.715684922340193 52.00999988448791, 4.715684922340193 52.00500001293753, 4.7225648647723295 52.00500001293753, 4.7225648647723295 52.00999988448791))",10
R2C92,"POLYGON ((4.750084634500875 52.00999988448791, 4.743204692068739 52.00999988448791, 4.743204692068739 52.00500001293753, 4.750084634500875 52.00500001293753, 4.750084634500875 52.00999988448791))",10
R2C126,"POLYGON ((4.984002677193513 52.00999988448791, 4.977122734761377 52.00999988448791, 4.977122734761377 52.00500001293753, 4.984002677193513 52.00500001293753, 4.984002677193513 52.00999988448791))",19
R2C140,"POLYGON ((5.080321871243423 52.00999988448791, 5.073441928811286 52.00999988448791, 5.073441928811286 52.00500001293753, 5.080321871243423 52.00500001293753, 5.080321871243423 52.00999988448791))",5
R2C141,"POLYGON ((5.087201813675559 52.00999988448791, 5.080321871243423 52.00999988448791, 5.080321871243423 52.00500001293753, 5.087201813675559 52.00500001293753, 5.087201813675559 52.00999988448791))",5
R2C142,"POLYGON ((5.094081756107696 52.00999988448791, 5.087201813675559 52.00999988448791, 5.087201813675559 52.00500001293753, 5.094081756107696 52.00500001293753, 5.094081756107696 52.00999988448791))",5
R2C143,"POLYGON ((5.100961698539832 52.00999988448791, 5.094081756107696 52.00999988448791, 5.094081756107696 52.00500001293753, 5.100961698539832 52.00500001293753, 5.100961698539832 52.00999988448791))",5
R3C20,"POLYGON ((4.254728779387054 52.01499975603829, 4.247848836954917 52.01499975603829, 4.247848836954917 52.00999988448791, 4.254728779387054 52.00999988448791, 4.254728779387054 52.01499975603829))",3
R3C21,"POLYGON ((4.26160872181919 52.01499975603829, 4.254728779387054 52.01499975603829, 4.254728779387054 52.00999988448791, 4.26160872181919 52.00999988448791, 4.26160872181919 52.01499975603829))",3
R3C26,"POLYGON ((4.296008433979872 52.01499975603829, 4.289128491547736 52.01499975603829, 4.289128491547736 52.00999988448791, 4.296008433979872 52.00999988448791, 4.296008433979872 52.01499975603829))",3
R3C29,"POLYGON ((4.316648261276281 52.01499975603829, 4.309768318844145 52.01499975603829, 4.309768318844145 52.00999988448791, 4.316648261276281 52.00999988448791, 4.316648261276281 52.01499975603829))",3
R3C31,"POLYGON ((4.330408146140554 52.01499975603829, 4.323528203708418 52.01499975603829, 4.323528203708418 52.00999988448791, 4.330408146140554 52.00999988448791, 4.330408146140554 52.01499975603829))",3
R3C32,"POLYGON ((4.3372880885726905 52.01499975603829, 4.330408146140554 52.01499975603829, 4.330408146140554 52.00999988448791, 4.3372880885726905 52.00999988448791, 4.3372880885726905 52.01499975603829))",3
R3C33,"POLYGON ((4.344168031004827 52.01499975603829, 4.3372880885726905 52.01499975603829, 4.3372880885726905 52.00999988448791, 4.344168031004827 52.00999988448791, 4.344168031004827 52.01499975603829))",3
R3C34,"POLYGON ((4.351047973436963 52.01499975603829, 4.344168031004827 52.01499975603829, 4.344168031004827 52.00999988448791, 4.351047973436963 52.00999988448791, 4.351047973436963 52.01499975603829))",3
R3C35,"POLYGON ((4.3579279158691 52.01499975603829, 4.351047973436963 52.01499975603829, 4.351047973436963 52.00999988448791, 4.3579279158691 52.00999988448791, 4.3579279158691 52.01499975603829))",3
R3C36,"POLYGON ((4.364807858301236 52.01499975603829, 4.3579279158691 52.01499975603829, 4.3579279158691 52.00999988448791, 4.364807858301236 52.00999988448791, 4.364807858301236 52.01499975603829))",3
R3C37,"POLYGON ((4.371687800733373 52.01499975603829, 4.364807858301236 52.01499975603829, 4.364807858301236 52.00999988448791, 4.371687800733373 52.00999988448791, 4.371687800733373 52.01499975603829))",3
R3C38,"POLYGON ((4.378567743165509 52.01499975603829, 4.371687800733373 52.01499975603829, 4.371687800733373 52.00999988448791, 4.378567743165509 52.00999988448791, 4.378567743165509 52.01499975603829))",15
R3C47,"POLYGON ((4.440487225054737 52.01499975603829, 4.4336072826226 52.01499975603829, 4.4336072826226 52.00999988448791, 4.440487225054737 52.00999988448791, 4.440487225054737 52.01499975603829))",15
R3C48,"POLYGON ((4.447367167486873 52.01499975603829, 4.440487225054737 52.01499975603829, 4.440487225054737 52.00999988448791, 4.447367167486873 52.00999988448791, 4.447367167486873 52.01499975603829))",15
R3C61,"POLYGON ((4.536806419104646 52.01499975603829, 4.52992647667251 52.01499975603829, 4.52992647667251 52.00999988448791, 4.536806419104646 52.00999988448791, 4.536806419104646 52.01499975603829))",15
R3C63,"POLYGON ((4.550566303968919 52.01499975603829, 4.543686361536783 52.01499975603829, 4.543686361536783 52.00999988448791, 4.550566303968919 52.00999988448791, 4.550566303968919 52.01499975603829))",15
R3C68,"POLYGON ((4.584966016129601 52.01499975603829, 4.578086073697465 52.01499975603829, 4.578086073697465 52.00999988448791, 4.584966016129601 52.00999988448791, 4.584966016129601 52.01499975603829))",10
R3C69,"POLYGON ((4.591845958561738 52.01499975603829, 4.584966016129601 52.01499975603829, 4.584966016129601 52.00999988448791, 4.591845958561738 52.00999988448791, 4.591845958561738 52.01499975603829))",10
R3C85,"POLYGON ((4.70192503747592 52.01499975603829, 4.695045095043784 52.01499975603829, 4.695045095043784 52.00999988448791, 4.70192503747592 52.00999988448791, 4.70192503747592 52.01499975603829))",10
R3C86,"POLYGON ((4.708804979908057 52.01499975603829, 4.70192503747592 52.01499975603829, 4.70192503747592 52.00999988448791, 4.708804979908057 52.00999988448791, 4.708804979908057 52.01499975603829))",10
R3C87,"POLYGON ((4.715684922340193 52.01499975603829, 4.708804979908057 52.01499975603829, 4.708804979908057 52.00999988448791, 4.715684922340193 52.00999988448791, 4.715684922340193 52.01499975603829))",10
R3C88,"POLYGON ((4.7225648647723295 52.01499975603829, 4.715684922340193 52.01499975603829, 4.715684922340193 52.00999988448791, 4.7225648647723295 52.00999988448791, 4.7225648647723295 52.01499975603829))",10
R3C90,"POLYGON ((4.736324749636602 52.01499975603829, 4.729444807204466 52.01499975603829, 4.729444807204466 52.00999988448791, 4.736324749636602 52.00999988448791, 4.736324749636602 52.01499975603829))",10
R3C91,"POLYGON ((4.743204692068739 52.01499975603829, 4.736324749636602 52.01499975603829, 4.736324749636602 52.00999988448791, 4.743204692068739 52.00999988448791, 4.743204692068739 52.01499975603829))",10
R3C92,"POLYGON ((4.750084634500875 52.01499975603829, 4.743204692068739 52.01499975603829, 4.743204692068739 52.00999988448791, 4.750084634500875 52.00999988448791, 4.750084634500875 52.01499975603829))",10
R3C101,"POLYGON ((4.812004116390103 52.01499975603829, 4.805124173957966 52.01499975603829, 4.805124173957966 52.00999988448791, 4.812004116390103 52.00999988448791, 4.812004116390103 52.01499975603829))",19
R3C134,"POLYGON ((5.039042216650604 52.01499975603829, 5.032162274218468 52.01499975603829, 5.032162274218468 52.00999988448791, 5.039042216650604 52.00999988448791, 5.039042216650604 52.01499975603829))",5
R3C136,"POLYGON ((5.052802101514877 52.01499975603829, 5.045922159082741 52.01499975603829, 5.045922159082741 52.00999988448791, 5.052802101514877 52.00999988448791, 5.052802101514877 52.01499975603829))",5
R3C141,"POLYGON ((5.087201813675559 52.01499975603829, 5.080321871243423 52.01499975603829, 5.080321871243423 52.00999988448791, 5.087201813675559 52.00999988448791, 5.087201813675559 52.01499975603829))",5
R3C142,"POLYGON ((5.094081756107696 52.01499975603829, 5.087201813675559 52.01499975603829, 5.087201813675559 52.00999988448791, 5.094081756107696 52.00999988448791, 5.094081756107696 52.01499975603829))",5
R3C143,"POLYGON ((5.100961698539832 52.01499975603829, 5.094081756107696 52.01499975603829, 5.094081756107696 52.00999988448791, 5.100961698539832 52.00999988448791, 5.100961698539832 52.01499975603829))",5
R3C153,"POLYGON ((5.169761122861196 52.01499975603829, 5.16288118042906 52.01499975603829, 5.16288118042906 52.00999988448791, 5.169761122861196 52.00999988448791, 5.169761122861196 52.01499975603829))",11
R3C154,"POLYGON ((5.176641065293333 52.01499975603829, 5.169761122861196 52.01499975603829, 5.169761122861196 52.00999988448791, 5.176641065293333 52.00999988448791, 5.176641065293333 52.01499975603829))",11
R3C155,"POLYGON ((5.183521007725469 52.01499975603829, 5.176641065293333 52.01499975603829, 5.176641065293333 52.00999988448791, 5.183521007725469 52.00999988448791, 5.183521007725469 52.01499975603829))",11
R3C156,"POLYGON ((5.190400950157605 52.01499975603829, 5.183521007725469 52.01499975603829, 5.183521007725469 52.00999988448791, 5.190400950157605 52.00999988448791, 5.190400950157605 52.01499975603829))",11
R3C176,"POLYGON ((5.327999798800334 52.01499975603829, 5.321119856368197 52.01499975603829, 5.321119856368197 52.00999988448791, 5.327999798800334 52.00999988448791, 5.327999798800334 52.01499975603829))",11
R3C192,"POLYGON ((5.438078877714516 52.01499975603829, 5.43119893528238 52.01499975603829, 5.43119893528238 52.00999988448791, 5.438078877714516 52.00999988448791, 5.438078877714516 52.01499975603829))",13
R4C21,"POLYGON ((4.26160872181919 52.019999627588675, 4.254728779387054 52.019999627588675, 4.254728779387054 52.01499975603829, 4.26160872181919 52.01499975603829, 4.26160872181919 52.019999627588675))",3
R4C25,"POLYGON ((4.289128491547736 52.019999627588675, 4.282248549115599 52.019999627588675, 4.282248549115599 52.01499975603829, 4.289128491547736 52.01499975603829, 4.289128491547736 52.019999627588675))",3
R4C26,"POLYGON ((4.296008433979872 52.019999627588675, 4.289128491547736 52.019999627588675, 4.289128491547736 52.01499975603829, 4.296008433979872 52.01499975603829, 4.296008433979872 52.019999627588675))",3
R4C27,"POLYGON ((4.3028883764120085 52.019999627588675, 4.296008433979872 52.019999627588675, 4.296008433979872 52.01499975603829, 4.3028883764120085 52.01499975603829, 4.3028883764120085 52.019999627588675))",3
R4C31,"POLYGON ((4.330408146140554 52.019999627588675, 4.323528203708418 52.019999627588675, 4.323528203708418 52.01499975603829, 4.330408146140554 52.01499975603829, 4.330408146140554 52.019999627588675))",3
R4C32,"POLYGON ((4.3372880885726905 52.019999627588675, 4.330408146140554 52.019999627588675, 4.330408146140554 52.01499975603829, 4.3372880885726905 52.01499975603829, 4.3372880885726905 52.019999627588675))",3
R4C33,"POLYGON ((4.344168031004827 52.019999627588675, 4.3372880885726905 52.019999627588675, 4.3372880885726905 52.01499975603829, 4.344168031004827 52.01499975603829, 4.344168031004827 52.019999627588675))",3
