,lat,lon
1,52.377080006224155,4.853925556657561
2,52.0552209449547,4.455661320307838
3,52.08226902021805,5.078562496651999
4,52.92099499901026,4.784356940320221
5,52.41642779928196,4.623983771840621
6,52.51554245235985,5.444576601122645
7,52.16616253924484,5.3820177710478045
8,52.266064734603894,4.807581296255158
9,52.63381450348757,4.735880882382917
10,52.33012052638117,5.239163428735893
11,52.663184038385225,5.062929119580872
12,52.07855872923179,4.679054440966667
13,52.24548352549739,5.149582322634982
14,52.182118478533795,4.472784732583378
15,52.06896895777329,5.209927845589993
16,52.294765295971025,4.631304451922521
17,52.11191755601852,4.923429270997529
18,52.05735331911333,4.30058839565708
19,52.712200154412315,5.201883670977439
20,52.352069155600425,4.964654653433939
