,geometry,cluster
R16C32,"POLYGON ((1.6325229353793962 41.19498798223452, 1.6250231326301618 41.19498798223452, 1.6250231326301618 41.19115640713797, 1.6325229353793962 41.19115640713797, 1.6325229353793962 41.19498798223452))",5
R16C33,"POLYGON ((1.6400227381286305 41.19498798223452, 1.6325229353793962 41.19498798223452, 1.6325229353793962 41.19115640713797, 1.6400227381286305 41.19115640713797, 1.6400227381286305 41.19498798223452))",5
R17C19,"POLYGON ((1.5350254996393498 41.19881955733108, 1.5275256968901154 41.19881955733108, 1.5275256968901154 41.19498798223452, 1.5350254996393498 41.19498798223452, 1.5350254996393498 41.19881955733108))",5
R17C23,"POLYGON ((1.5650247106362871 41.19881955733108, 1.5575249078870528 41.19881955733108, 1.5575249078870528 41.19498798223452, 1.5650247106362871 41.19498798223452, 1.5650247106362871 41.19881955733108))",5
R17C24,"POLYGON ((1.5725245133855215 41.19881955733108, 1.5650247106362871 41.19881955733108, 1.5650247106362871 41.19498798223452, 1.5725245133855215 41.19498798223452, 1.5725245133855215 41.19881955733108))",5
R17C29,"POLYGON ((1.6100235271316932 41.19881955733108, 1.6025237243824588 41.19881955733108, 1.6025237243824588 41.19498798223452, 1.6100235271316932 41.19498798223452, 1.6100235271316932 41.19881955733108))",5
R17C30,"POLYGON ((1.6175233298809275 41.19881955733108, 1.6100235271316932 41.19881955733108, 1.6100235271316932 41.19498798223452, 1.6175233298809275 41.19498798223452, 1.6175233298809275 41.19881955733108))",5
R17C31,"POLYGON ((1.6250231326301618 41.19881955733108, 1.6175233298809275 41.19881955733108, 1.6175233298809275 41.19498798223452, 1.6250231326301618 41.19498798223452, 1.6250231326301618 41.19881955733108))",5
R17C32,"POLYGON ((1.6325229353793962 41.19881955733108, 1.6250231326301618 41.19881955733108, 1.6250231326301618 41.19498798223452, 1.6325229353793962 41.19498798223452, 1.6325229353793962 41.19881955733108))",5
R17C33,"POLYGON ((1.6400227381286305 41.19881955733108, 1.6325229353793962 41.19881955733108, 1.6325229353793962 41.19498798223452, 1.6400227381286305 41.19498798223452, 1.6400227381286305 41.19881955733108))",5
R17C34,"POLYGON ((1.6475225408778649 41.19881955733108, 1.6400227381286305 41.19881955733108, 1.6400227381286305 41.19498798223452, 1.6475225408778649 41.19498798223452, 1.6475225408778649 41.19881955733108))",5
R17C35,"POLYGON ((1.6550223436270992 41.19881955733108, 1.6475225408778649 41.19881955733108, 1.6475225408778649 41.19498798223452, 1.6550223436270992 41.19498798223452, 1.6550223436270992 41.19881955733108))",5
R17C37,"POLYGON ((1.670021949125568 41.19881955733108, 1.6625221463763336 41.19881955733108, 1.6625221463763336 41.19498798223452, 1.670021949125568 41.19498798223452, 1.670021949125568 41.19881955733108))",5
R18C24,"POLYGON ((1.5725245133855215 41.20265113242763, 1.5650247106362871 41.20265113242763, 1.5650247106362871 41.19881955733108, 1.5725245133855215 41.19881955733108, 1.5725245133855215 41.20265113242763))",5
R18C31,"POLYGON ((1.6250231326301618 41.20265113242763, 1.6175233298809275 41.20265113242763, 1.6175233298809275 41.19881955733108, 1.6250231326301618 41.19881955733108, 1.6250231326301618 41.20265113242763))",5
R18C33,"POLYGON ((1.6400227381286305 41.20265113242763, 1.6325229353793962 41.20265113242763, 1.6325229353793962 41.19881955733108, 1.6400227381286305 41.19881955733108, 1.6400227381286305 41.20265113242763))",5
R18C36,"POLYGON ((1.6625221463763336 41.20265113242763, 1.6550223436270992 41.20265113242763, 1.6550223436270992 41.19881955733108, 1.6625221463763336 41.19881955733108, 1.6625221463763336 41.20265113242763))",5
R18C38,"POLYGON ((1.6775217518748022 41.20265113242763, 1.670021949125568 41.20265113242763, 1.670021949125568 41.19881955733108, 1.6775217518748022 41.19881955733108, 1.6775217518748022 41.20265113242763))",5
R19C17,"POLYGON ((1.520025894140881 41.20648270752419, 1.5125260913916467 41.20648270752419, 1.5125260913916467 41.20265113242763, 1.520025894140881 41.20265113242763, 1.520025894140881 41.20648270752419))",5
R19C32,"POLYGON ((1.6325229353793962 41.20648270752419, 1.6250231326301618 41.20648270752419, 1.6250231326301618 41.20265113242763, 1.6325229353793962 41.20265113242763, 1.6325229353793962 41.20648270752419))",5
R19C33,"POLYGON ((1.6400227381286305 41.20648270752419, 1.6325229353793962 41.20648270752419, 1.6325229353793962 41.20265113242763, 1.6400227381286305 41.20265113242763, 1.6400227381286305 41.20648270752419))",5
R19C39,"POLYGON ((1.6850215546240366 41.20648270752419, 1.6775217518748022 41.20648270752419, 1.6775217518748022 41.20265113242763, 1.6850215546240366 41.20265113242763, 1.6850215546240366 41.20648270752419))",9
R20C32,"POLYGON ((1.6325229353793962 41.21031428262074, 1.6250231326301618 41.21031428262074, 1.6250231326301618 41.20648270752419, 1.6325229353793962 41.20648270752419, 1.6325229353793962 41.21031428262074))",5
R20C38,"POLYGON ((1.6775217518748022 41.21031428262074, 1.670021949125568 41.21031428262074, 1.670021949125568 41.20648270752419, 1.6775217518748022 41.20648270752419, 1.6775217518748022 41.21031428262074))",5
R20C39,"POLYGON ((1.6850215546240366 41.21031428262074, 1.6775217518748022 41.21031428262074, 1.6775217518748022 41.20648270752419, 1.6850215546240366 41.20648270752419, 1.6850215546240366 41.21031428262074))",9
R21C19,"POLYGON ((1.5350254996393498 41.2141458577173, 1.5275256968901154 41.2141458577173, 1.5275256968901154 41.21031428262074, 1.5350254996393498 41.21031428262074, 1.5350254996393498 41.2141458577173))",5
R21C20,"POLYGON ((1.542525302388584 41.2141458577173, 1.5350254996393498 41.2141458577173, 1.5350254996393498 41.21031428262074, 1.542525302388584 41.21031428262074, 1.542525302388584 41.2141458577173))",5
R21C21,"POLYGON ((1.5500251051378184 41.2141458577173, 1.542525302388584 41.2141458577173, 1.542525302388584 41.21031428262074, 1.5500251051378184 41.21031428262074, 1.5500251051378184 41.2141458577173))",5
R21C43,"POLYGON ((1.715020765620974 41.2141458577173, 1.7075209628717396 41.2141458577173, 1.7075209628717396 41.21031428262074, 1.715020765620974 41.21031428262074, 1.715020765620974 41.2141458577173))",9
R21C44,"POLYGON ((1.7225205683702083 41.2141458577173, 1.715020765620974 41.2141458577173, 1.715020765620974 41.21031428262074, 1.7225205683702083 41.21031428262074, 1.7225205683702083 41.2141458577173))",9
R21C45,"POLYGON ((1.7300203711194426 41.2141458577173, 1.7225205683702083 41.2141458577173, 1.7225205683702083 41.21031428262074, 1.7300203711194426 41.21031428262074, 1.7300203711194426 41.2141458577173))",9
R22C18,"POLYGON ((1.5275256968901154 41.21797743281385, 1.520025894140881 41.21797743281385, 1.520025894140881 41.2141458577173, 1.5275256968901154 41.2141458577173, 1.5275256968901154 41.21797743281385))",5
R22C19,"POLYGON ((1.5350254996393498 41.21797743281385, 1.5275256968901154 41.21797743281385, 1.5275256968901154 41.2141458577173, 1.5350254996393498 41.2141458577173, 1.5350254996393498 41.21797743281385))",5
R22C20,"POLYGON ((1.542525302388584 41.21797743281385, 1.5350254996393498 41.21797743281385, 1.5350254996393498 41.2141458577173, 1.542525302388584 41.2141458577173, 1.542525302388584 41.21797743281385))",5
R22C39,"POLYGON ((1.6850215546240366 41.21797743281385, 1.6775217518748022 41.21797743281385, 1.6775217518748022 41.2141458577173, 1.6850215546240366 41.2141458577173, 1.6850215546240366 41.21797743281385))",9
R22C44,"POLYGON ((1.7225205683702083 41.21797743281385, 1.715020765620974 41.21797743281385, 1.715020765620974 41.2141458577173, 1.7225205683702083 41.2141458577173, 1.7225205683702083 41.21797743281385))",9
R22C45,"POLYGON ((1.7300203711194426 41.21797743281385, 1.7225205683702083 41.21797743281385, 1.7225205683702083 41.2141458577173, 1.7300203711194426 41.2141458577173, 1.7300203711194426 41.21797743281385))",9
R22C46,"POLYGON ((1.737520173868677 41.21797743281385, 1.7300203711194426 41.21797743281385, 1.7300203711194426 41.2141458577173, 1.737520173868677 41.2141458577173, 1.737520173868677 41.21797743281385))",9
R23C17,"POLYGON ((1.520025894140881 41.22180900791041, 1.5125260913916467 41.22180900791041, 1.5125260913916467 41.21797743281385, 1.520025894140881 41.21797743281385, 1.520025894140881 41.22180900791041))",5
R23C18,"POLYGON ((1.5275256968901154 41.22180900791041, 1.520025894140881 41.22180900791041, 1.520025894140881 41.21797743281385, 1.5275256968901154 41.21797743281385, 1.5275256968901154 41.22180900791041))",5
R23C19,"POLYGON ((1.5350254996393498 41.22180900791041, 1.5275256968901154 41.22180900791041, 1.5275256968901154 41.21797743281385, 1.5350254996393498 41.21797743281385, 1.5350254996393498 41.22180900791041))",5
R23C20,"POLYGON ((1.542525302388584 41.22180900791041, 1.5350254996393498 41.22180900791041, 1.5350254996393498 41.21797743281385, 1.542525302388584 41.21797743281385, 1.542525302388584 41.22180900791041))",5
R23C21,"POLYGON ((1.5500251051378184 41.22180900791041, 1.542525302388584 41.22180900791041, 1.542525302388584 41.21797743281385, 1.5500251051378184 41.21797743281385, 1.5500251051378184 41.22180900791041))",5
R23C36,"POLYGON ((1.6625221463763336 41.22180900791041, 1.6550223436270992 41.22180900791041, 1.6550223436270992 41.21797743281385, 1.6625221463763336 41.21797743281385, 1.6625221463763336 41.22180900791041))",5
R23C43,"POLYGON ((1.715020765620974 41.22180900791041, 1.7075209628717396 41.22180900791041, 1.7075209628717396 41.21797743281385, 1.715020765620974 41.21797743281385, 1.715020765620974 41.22180900791041))",9
R23C44,"POLYGON ((1.7225205683702083 41.22180900791041, 1.715020765620974 41.22180900791041, 1.715020765620974 41.21797743281385, 1.7225205683702083 41.21797743281385, 1.7225205683702083 41.22180900791041))",9
R23C45,"POLYGON ((1.7300203711194426 41.22180900791041, 1.7225205683702083 41.22180900791041, 1.7225205683702083 41.21797743281385, 1.7300203711194426 41.21797743281385, 1.7300203711194426 41.22180900791041))",9
R23C46,"POLYGON ((1.737520173868677 41.22180900791041, 1.7300203711194426 41.22180900791041, 1.7300203711194426 41.21797743281385, 1.737520173868677 41.21797743281385, 1.737520173868677 41.22180900791041))",9
R23C47,"POLYGON ((1.7450199766179113 41.22180900791041, 1.737520173868677 41.22180900791041, 1.737520173868677 41.21797743281385, 1.7450199766179113 41.21797743281385, 1.7450199766179113 41.22180900791041))",9
R24C18,"POLYGON ((1.5275256968901154 41.225640583006964, 1.520025894140881 41.225640583006964, 1.520025894140881 41.22180900791041, 1.5275256968901154 41.22180900791041, 1.5275256968901154 41.225640583006964))",5
R24C19,"POLYGON ((1.5350254996393498 41.225640583006964, 1.5275256968901154 41.225640583006964, 1.5275256968901154 41.22180900791041, 1.5350254996393498 41.22180900791041, 1.5350254996393498 41.225640583006964))",5
R24C20,"POLYGON ((1.542525302388584 41.225640583006964, 1.5350254996393498 41.225640583006964, 1.5350254996393498 41.22180900791041, 1.542525302388584 41.22180900791041, 1.542525302388584 41.225640583006964))",5
R24C43,"POLYGON ((1.715020765620974 41.225640583006964, 1.7075209628717396 41.225640583006964, 1.7075209628717396 41.22180900791041, 1.715020765620974 41.22180900791041, 1.715020765620974 41.225640583006964))",9
R24C44,"POLYGON ((1.7225205683702083 41.225640583006964, 1.715020765620974 41.225640583006964, 1.715020765620974 41.22180900791041, 1.7225205683702083 41.22180900791041, 1.7225205683702083 41.225640583006964))",9
R24C45,"POLYGON ((1.7300203711194426 41.225640583006964, 1.7225205683702083 41.225640583006964, 1.7225205683702083 41.22180900791041, 1.7300203711194426 41.22180900791041, 1.7300203711194426 41.225640583006964))",9
R24C46,"POLYGON ((1.737520173868677 41.225640583006964, 1.7300203711194426 41.225640583006964, 1.7300203711194426 41.22180900791041, 1.737520173868677 41.22180900791041, 1.737520173868677 41.225640583006964))",9
R24C47,"POLYGON ((1.7450199766179113 41.225640583006964, 1.737520173868677 41.225640583006964, 1.737520173868677 41.22180900791041, 1.7450199766179113 41.22180900791041, 1.7450199766179113 41.225640583006964))",9
R24C53,"POLYGON ((1.7900187931133174 41.225640583006964, 1.782518990364083 41.225640583006964, 1.782518990364083 41.22180900791041, 1.7900187931133174 41.22180900791041, 1.7900187931133174 41.225640583006964))",9
R25C19,"POLYGON ((1.5350254996393498 41.22947215810352, 1.5275256968901154 41.22947215810352, 1.5275256968901154 41.225640583006964, 1.5350254996393498 41.225640583006964, 1.5350254996393498 41.22947215810352))",5
R25C29,"POLYGON ((1.6100235271316932 41.22947215810352, 1.6025237243824588 41.22947215810352, 1.6025237243824588 41.225640583006964, 1.6100235271316932 41.225640583006964, 1.6100235271316932 41.22947215810352))",5
R25C31,"POLYGON ((1.6250231326301618 41.22947215810352, 1.6175233298809275 41.22947215810352, 1.6175233298809275 41.225640583006964, 1.6250231326301618 41.225640583006964, 1.6250231326301618 41.22947215810352))",5
R25C34,"POLYGON ((1.6475225408778649 41.22947215810352, 1.6400227381286305 41.22947215810352, 1.6400227381286305 41.225640583006964, 1.6475225408778649 41.225640583006964, 1.6475225408778649 41.22947215810352))",5
R25C43,"POLYGON ((1.715020765620974 41.22947215810352, 1.7075209628717396 41.22947215810352, 1.7075209628717396 41.225640583006964, 1.715020765620974 41.225640583006964, 1.715020765620974 41.22947215810352))",9
R25C44,"POLYGON ((1.7225205683702083 41.22947215810352, 1.715020765620974 41.22947215810352, 1.715020765620974 41.225640583006964, 1.7225205683702083 41.225640583006964, 1.7225205683702083 41.22947215810352))",9
R25C45,"POLYGON ((1.7300203711194426 41.22947215810352, 1.7225205683702083 41.22947215810352, 1.7225205683702083 41.225640583006964, 1.7300203711194426 41.225640583006964, 1.7300203711194426 41.22947215810352))",9
R25C47,"POLYGON ((1.7450199766179113 41.22947215810352, 1.737520173868677 41.22947215810352, 1.737520173868677 41.225640583006964, 1.7450199766179113 41.225640583006964, 1.7450199766179113 41.22947215810352))",9
R25C54,"POLYGON ((1.7975185958625517 41.22947215810352, 1.7900187931133174 41.22947215810352, 1.7900187931133174 41.225640583006964, 1.7975185958625517 41.225640583006964, 1.7975185958625517 41.22947215810352))",9
R26C30,"POLYGON ((1.6175233298809275 41.233303733200074, 1.6100235271316932 41.233303733200074, 1.6100235271316932 41.22947215810352, 1.6175233298809275 41.22947215810352, 1.6175233298809275 41.233303733200074))",5
R26C40,"POLYGON ((1.692521357373271 41.233303733200074, 1.6850215546240366 41.233303733200074, 1.6850215546240366 41.22947215810352, 1.692521357373271 41.22947215810352, 1.692521357373271 41.233303733200074))",9
R26C44,"POLYGON ((1.7225205683702083 41.233303733200074, 1.715020765620974 41.233303733200074, 1.715020765620974 41.22947215810352, 1.7225205683702083 41.22947215810352, 1.7225205683702083 41.233303733200074))",9
R26C45,"POLYGON ((1.7300203711194426 41.233303733200074, 1.7225205683702083 41.233303733200074, 1.7225205683702083 41.22947215810352, 1.7300203711194426 41.22947215810352, 1.7300203711194426 41.233303733200074))",9
R26C46,"POLYGON ((1.737520173868677 41.233303733200074, 1.7300203711194426 41.233303733200074, 1.7300203711194426 41.22947215810352, 1.737520173868677 41.22947215810352, 1.737520173868677 41.233303733200074))",9
R26C54,"POLYGON ((1.7975185958625517 41.233303733200074, 1.7900187931133174 41.233303733200074, 1.7900187931133174 41.22947215810352, 1.7975185958625517 41.22947215810352, 1.7975185958625517 41.233303733200074))",9
R26C55,"POLYGON ((1.805018398611786 41.233303733200074, 1.7975185958625517 41.233303733200074, 1.7975185958625517 41.22947215810352, 1.805018398611786 41.22947215810352, 1.805018398611786 41.233303733200074))",9
R27C45,"POLYGON ((1.7300203711194426 41.23713530829663, 1.7225205683702083 41.23713530829663, 1.7225205683702083 41.233303733200074, 1.7300203711194426 41.233303733200074, 1.7300203711194426 41.23713530829663))",9
R27C53,"POLYGON ((1.7900187931133174 41.23713530829663, 1.782518990364083 41.23713530829663, 1.782518990364083 41.233303733200074, 1.7900187931133174 41.233303733200074, 1.7900187931133174 41.23713530829663))",9
R27C55,"POLYGON ((1.805018398611786 41.23713530829663, 1.7975185958625517 41.23713530829663, 1.7975185958625517 41.233303733200074, 1.805018398611786 41.233303733200074, 1.805018398611786 41.23713530829663))",9
R27C56,"POLYGON ((1.8125182013610204 41.23713530829663, 1.805018398611786 41.23713530829663, 1.805018398611786 41.233303733200074, 1.8125182013610204 41.233303733200074, 1.8125182013610204 41.23713530829663))",9
R27C57,"POLYGON ((1.8200180041102547 41.23713530829663, 1.8125182013610204 41.23713530829663, 1.8125182013610204 41.233303733200074, 1.8200180041102547 41.233303733200074, 1.8200180041102547 41.23713530829663))",9
R27C58,"POLYGON ((1.827517806859489 41.23713530829663, 1.8200180041102547 41.23713530829663, 1.8200180041102547 41.233303733200074, 1.827517806859489 41.233303733200074, 1.827517806859489 41.23713530829663))",9
R28C25,"POLYGON ((1.5800243161347558 41.240966883393185, 1.5725245133855215 41.240966883393185, 1.5725245133855215 41.23713530829663, 1.5800243161347558 41.23713530829663, 1.5800243161347558 41.240966883393185))",5
R28C55,"POLYGON ((1.805018398611786 41.240966883393185, 1.7975185958625517 41.240966883393185, 1.7975185958625517 41.23713530829663, 1.805018398611786 41.23713530829663, 1.805018398611786 41.240966883393185))",9
R28C56,"POLYGON ((1.8125182013610204 41.240966883393185, 1.805018398611786 41.240966883393185, 1.805018398611786 41.23713530829663, 1.8125182013610204 41.23713530829663, 1.8125182013610204 41.240966883393185))",9
R28C58,"POLYGON ((1.827517806859489 41.240966883393185, 1.8200180041102547 41.240966883393185, 1.8200180041102547 41.23713530829663, 1.827517806859489 41.23713530829663, 1.827517806859489 41.240966883393185))",9
R28C62,"POLYGON ((1.8575170178564264 41.240966883393185, 1.850017215107192 41.240966883393185, 1.850017215107192 41.23713530829663, 1.8575170178564264 41.23713530829663, 1.8575170178564264 41.240966883393185))",9
R29C30,"POLYGON ((1.6175233298809275 41.24479845848974, 1.6100235271316932 41.24479845848974, 1.6100235271316932 41.240966883393185, 1.6175233298809275 41.240966883393185, 1.6175233298809275 41.24479845848974))",5
R29C50,"POLYGON ((1.7675193848656143 41.24479845848974, 1.76001958211638 41.24479845848974, 1.76001958211638 41.240966883393185, 1.7675193848656143 41.240966883393185, 1.7675193848656143 41.24479845848974))",9
R29C53,"POLYGON ((1.7900187931133174 41.24479845848974, 1.782518990364083 41.24479845848974, 1.782518990364083 41.240966883393185, 1.7900187931133174 41.240966883393185, 1.7900187931133174 41.24479845848974))",9
R29C56,"POLYGON ((1.8125182013610204 41.24479845848974, 1.805018398611786 41.24479845848974, 1.805018398611786 41.240966883393185, 1.8125182013610204 41.240966883393185, 1.8125182013610204 41.24479845848974))",9
R29C62,"POLYGON ((1.8575170178564264 41.24479845848974, 1.850017215107192 41.24479845848974, 1.850017215107192 41.240966883393185, 1.8575170178564264 41.240966883393185, 1.8575170178564264 41.24479845848974))",9
R30C13,"POLYGON ((1.4900266831439437 41.248630033586295, 1.4825268803947094 41.248630033586295, 1.4825268803947094 41.24479845848974, 1.4900266831439437 41.24479845848974, 1.4900266831439437 41.248630033586295))",5
